row_id,sentence,topic,domain,sentiment,language_style,char_count,token_count,unique_token_count,avg_word_length,type_token_ratio,has_stopwords,approx_perplexity,unigram_sample,unigram_freq,bigram_sample,bigram_freq,trigram_sample,trigram_freq,4gram_sample,5gram_sample,most_common_bigram,most_common_trigram,tokens_list
11,I really enjoyed the pasta dish at that restaurant.,music,customer_service,neutral,formal,51,9,9,4.67,1,TRUE,37.4133,i,1,dish at,1,pasta dish at,1,really enjoyed the pasta,i really enjoyed the pasta,i really,i really enjoyed,i | really | enjoyed | the | pasta | dish | at | that | restaurant
12,The coffee here is exceptionally smooth and rich. Indeed.,movies,social_media,mixed,informal,57,9,9,5.22,1,TRUE,164.448,the,1,exceptionally smooth,1,the coffee here,1,coffee here is exceptionally,the coffee here is exceptionally,the coffee,the coffee here,the | coffee | here | is | exceptionally | smooth | and | rich | indeed
13,Can you recommend a good place to eat nearby?,books,news,positive,technical,45,9,9,4,1,TRUE,160.6688,can,1,eat nearby,1,place to eat,1,recommend a good place,you recommend a good place,can you,can you recommend,can | you | recommend | a | good | place | to | eat | nearby
14,This burger is one of the best I have ever had.,gaming,academic,negative,colloquial,47,11,11,3.27,1,TRUE,261.2917,this,1,one of,1,of the best,1,burger is one of,of the best i have,this burger,this burger is,this | burger | is | one | of | the | best | i | have | ever | had
15,The dessert menu looks absolutely delicious.,fashion,casual_chat,neutral,academic,44,6,6,6.33,1,TRUE,164.1931,the,1,absolutely delicious,1,dessert menu looks,1,the dessert menu looks,dessert menu looks absolutely delicious,the dessert,the dessert menu,the | dessert | menu | looks | absolutely | delicious
16,Fresh vegetables make every meal taste better.,weather,e-commerce,mixed,formal,46,7,7,5.57,1,FALSE,143.2274,fresh,1,taste better,1,meal taste better,1,vegetables make every meal,make every meal taste better,fresh vegetables,fresh vegetables make,fresh | vegetables | make | every | meal | taste | better
17,I am trying a new recipe for dinner tonight.,food,healthcare,positive,informal,44,9,9,3.89,1,TRUE,172.4426,i,1,i am,1,am trying a,1,i am trying a,trying a new recipe for,i am,i am trying,i | am | trying | a | new | recipe | for | dinner | tonight
18,The sushi was fresh and expertly prepared.,travel,legal,negative,technical,42,7,7,5,1,TRUE,269.0667,the,1,the sushi,1,sushi was fresh,1,was fresh and expertly,the sushi was fresh and,the sushi,the sushi was,the | sushi | was | fresh | and | expertly | prepared
19,Cooking at home saves both time and money.,technology,finance,neutral,colloquial,42,8,8,4.25,1,FALSE,120.6545,cooking,1,saves both,1,time and money,1,saves both time and,at home saves both time,cooking at,cooking at home,cooking | at | home | saves | both | time | and | money
20,The bakery opens early every morning.,sports,entertainment,mixed,academic,37,6,6,5.17,1,TRUE,361.1727,the,1,bakery opens,1,opens early every,1,opens early every morning,bakery opens early every morning,the bakery,the bakery opens,the | bakery | opens | early | every | morning
21,Artificial intelligence is transforming every industry.,health,customer_service,positive,formal,55,6,6,8.17,1,TRUE,213.62,artificial,1,transforming every,1,is transforming every,1,artificial intelligence is transforming,artificial intelligence is transforming every,artificial intelligence,artificial intelligence is,artificial | intelligence | is | transforming | every | industry
22,The new smartphone has impressive camera features.,education,social_media,negative,informal,50,7,7,6.14,1,TRUE,258.4295,the,1,the new,1,the new smartphone,1,the new smartphone has,the new smartphone has impressive,the new,the new smartphone,the | new | smartphone | has | impressive | camera | features
23,Cloud computing enables scalable infrastructure solutions. Truly.,business,news,neutral,technical,65,7,7,8.14,1,FALSE,246.4376,cloud,1,infrastructure solutions,1,cloud computing enables,1,scalable infrastructure solutions truly,computing enables scalable infrastructure solutions,cloud computing,cloud computing enables,cloud | computing | enables | scalable | infrastructure | solutions | truly
24,Machine learning models require large training datasets.,science,academic,mixed,colloquial,56,7,7,7,1,FALSE,347.0963,machine,1,require large,1,large training datasets,1,models require large training,models require large training datasets,machine learning,machine learning models,machine | learning | models | require | large | training | datasets
25,Natural language processing has advanced rapidly.,politics,casual_chat,positive,academic,49,6,6,7.17,1,FALSE,312.0675,natural,1,natural language,1,natural language processing,1,processing has advanced rapidly,language processing has advanced rapidly,natural language,natural language processing,natural | language | processing | has | advanced | rapidly
26,Cybersecurity threats are increasingly sophisticated.,music,e-commerce,negative,formal,53,5,5,9.6,1,TRUE,80.0999,cybersecurity,1,are increasingly,1,cybersecurity threats are,1,threats are increasingly sophisticated,cybersecurity threats are increasingly sophisticated,cybersecurity threats,cybersecurity threats are,cybersecurity | threats | are | increasingly | sophisticated
27,The software update fixed several critical bugs.,movies,healthcare,neutral,informal,48,7,7,5.86,1,TRUE,366.7986,the,1,the software,1,update fixed several,1,software update fixed several,update fixed several critical bugs,the software,the software update,the | software | update | fixed | several | critical | bugs
28,Data privacy regulations are becoming more strict.,books,legal,mixed,technical,50,7,7,6.14,1,TRUE,162.0873,data,1,more strict,1,regulations are becoming,1,privacy regulations are becoming,data privacy regulations are becoming,data privacy,data privacy regulations,data | privacy | regulations | are | becoming | more | strict
29,Blockchain technology offers transparent transactions.,gaming,finance,positive,colloquial,54,5,5,9.8,1,FALSE,205.6702,blockchain,1,technology offers,1,offers transparent transactions,1,blockchain technology offers transparent,blockchain technology offers transparent transactions,blockchain technology,blockchain technology offers,blockchain | technology | offers | transparent | transactions
30,Electric vehicles are gaining mainstream acceptance.,fashion,entertainment,negative,academic,52,6,6,7.67,1,TRUE,42.0116,electric,1,electric vehicles,1,are gaining mainstream,1,vehicles are gaining mainstream,electric vehicles are gaining mainstream,electric vehicles,electric vehicles are,electric | vehicles | are | gaining | mainstream | acceptance
31,Paris is one of the most beautiful cities in the world.,weather,customer_service,neutral,formal,55,11,10,4,0.9091,TRUE,204.6764,paris,1,the world,1,is one of,1,is one of the,most beautiful cities in the,paris is,paris is one,paris | is | one | of | the | most | beautiful | cities | in | the | world
32,The flight was delayed by two hours.,food,social_media,mixed,informal,36,7,7,4.14,1,TRUE,270.7053,the,1,the flight,1,by two hours,1,flight was delayed by,the flight was delayed by,the flight,the flight was,the | flight | was | delayed | by | two | hours
33,Booking early often results in cheaper tickets.,travel,news,positive,technical,47,7,7,5.71,1,TRUE,351.5246,booking,1,in cheaper,1,early often results,1,often results in cheaper,often results in cheaper tickets,booking early,booking early often,booking | early | often | results | in | cheaper | tickets
34,Local cuisine is the best part of traveling. Truly.,technology,academic,negative,colloquial,51,9,9,4.56,1,TRUE,290.9206,local,1,the best,1,best part of,1,part of traveling truly,cuisine is the best part,local cuisine,local cuisine is,local | cuisine | is | the | best | part | of | traveling | truly
35,The hotel offered stunning views of the ocean.,sports,casual_chat,neutral,academic,46,8,7,4.75,0.875,TRUE,361.8534,the,2,stunning views,1,of the ocean,1,offered stunning views of,stunning views of the ocean,the hotel,the hotel offered,the | hotel | offered | stunning | views | of | the | ocean
36,Traveling solo can be an enriching experience.,health,e-commerce,mixed,formal,46,7,7,5.57,1,FALSE,44.3298,traveling,1,be an,1,traveling solo can,1,solo can be an,traveling solo can be an,traveling solo,traveling solo can,traveling | solo | can | be | an | enriching | experience
37,The train journey through the mountains was breathtaking.,education,healthcare,positive,informal,57,8,7,6.12,0.875,TRUE,243.6072,the,2,the train,1,the mountains was,1,the mountains was breathtaking,train journey through the mountains,the train,the train journey,the | train | journey | through | the | mountains | was | breathtaking
38,Make sure to carry your passport at all times.,business,legal,negative,technical,46,9,9,4.11,1,TRUE,106.9979,make,1,make sure,1,make sure to,1,passport at all times,make sure to carry your,make sure,make sure to,make | sure | to | carry | your | passport | at | all | times
39,Exploring new cultures broadens your perspective.,science,finance,neutral,colloquial,49,6,6,7.17,1,FALSE,125.8214,exploring,1,exploring new,1,cultures broadens your,1,exploring new cultures broadens,exploring new cultures broadens your,exploring new,exploring new cultures,exploring | new | cultures | broadens | your | perspective
40,The airport was very busy during the holiday season.,politics,entertainment,mixed,academic,52,9,8,4.78,0.8889,TRUE,294.874,the,2,holiday season,1,airport was very,1,busy during the holiday,airport was very busy during,the airport,the airport was,the | airport | was | very | busy | during | the | holiday | season
41,Regular exercise improves both physical and mental health.,music,customer_service,positive,formal,58,8,8,6.25,1,FALSE,318.1554,regular,1,physical and,1,physical and mental,1,both physical and mental,exercise improves both physical and,regular exercise,regular exercise improves,regular | exercise | improves | both | physical | and | mental | health
42,A balanced diet is essential for overall wellbeing.,movies,social_media,negative,informal,51,8,8,5.38,1,TRUE,56.8337,a,1,overall wellbeing,1,is essential for,1,balanced diet is essential,a balanced diet is essential,a balanced,a balanced diet,a | balanced | diet | is | essential | for | overall | wellbeing
43,Getting enough sleep is crucial for productivity.,books,news,neutral,technical,49,7,7,6,1,TRUE,197.4694,getting,1,is crucial,1,sleep is crucial,1,is crucial for productivity,enough sleep is crucial for,getting enough,getting enough sleep,getting | enough | sleep | is | crucial | for | productivity
44,Stress management techniques can improve quality of life.,gaming,academic,mixed,colloquial,57,8,8,6.12,1,TRUE,172.9961,stress,1,quality of,1,stress management techniques,1,stress management techniques can,stress management techniques can improve,stress management,stress management techniques,stress | management | techniques | can | improve | quality | of | life
45,Annual medical checkups help detect problems early. Absolutely.,fashion,casual_chat,positive,academic,63,8,8,6.75,1,FALSE,92.2794,annual,1,early absolutely,1,annual medical checkups,1,medical checkups help detect,medical checkups help detect problems,annual medical,annual medical checkups,annual | medical | checkups | help | detect | problems | early | absolutely
46,Staying hydrated throughout the day is very important.,weather,e-commerce,negative,formal,54,8,8,5.75,1,TRUE,125.8472,staying,1,the day,1,hydrated throughout the,1,the day is very,hydrated throughout the day is,staying hydrated,staying hydrated throughout,staying | hydrated | throughout | the | day | is | very | important
47,Mental health awareness has increased significantly.,food,healthcare,neutral,informal,52,6,6,7.67,1,FALSE,39.2236,mental,1,health awareness,1,mental health awareness,1,health awareness has increased,mental health awareness has increased,mental health,mental health awareness,mental | health | awareness | has | increased | significantly
48,Vaccines are an effective tool against disease.,travel,legal,mixed,technical,47,7,7,5.71,1,TRUE,83.1982,vaccines,1,tool against,1,vaccines are an,1,vaccines are an effective,vaccines are an effective tool,vaccines are,vaccines are an,vaccines | are | an | effective | tool | against | disease
49,Yoga and meditation reduce anxiety levels.,technology,finance,positive,colloquial,42,6,6,6,1,FALSE,362.9283,yoga,1,reduce anxiety,1,reduce anxiety levels,1,yoga and meditation reduce,and meditation reduce anxiety levels,yoga and,yoga and meditation,yoga | and | meditation | reduce | anxiety | levels
50,Chronic conditions require consistent medical management.,sports,entertainment,negative,academic,57,6,6,8.5,1,FALSE,120.7772,chronic,1,conditions require,1,consistent medical management,1,chronic conditions require consistent,conditions require consistent medical management,chronic conditions,chronic conditions require,chronic | conditions | require | consistent | medical | management
51,The team won the championship after a thrilling match.,health,customer_service,neutral,formal,54,9,8,5,0.8889,TRUE,271.5111,the,2,thrilling match,1,won the championship,1,the championship after a,championship after a thrilling match,the team,the team won,the | team | won | the | championship | after | a | thrilling | match
52,He scored three goals in the final quarter.,education,social_media,mixed,informal,43,8,8,4.38,1,TRUE,102.7263,he,1,goals in,1,scored three goals,1,scored three goals in,three goals in the final,he scored,he scored three,he | scored | three | goals | in | the | final | quarter
53,Training every day builds strength and endurance.,business,news,positive,technical,49,7,7,6,1,FALSE,139.1698,training,1,training every,1,strength and endurance,1,training every day builds,day builds strength and endurance,training every,training every day,training | every | day | builds | strength | and | endurance
54,The athlete broke the world record by two seconds.,science,academic,negative,colloquial,50,9,8,4.56,0.8889,TRUE,369.3671,the,2,the athlete,1,world record by,1,the world record by,world record by two seconds,the athlete,the athlete broke,the | athlete | broke | the | world | record | by | two | seconds
55,Teamwork is the foundation of any winning strategy.,politics,casual_chat,neutral,academic,51,8,8,5.38,1,TRUE,343.5102,teamwork,1,of any,1,is the foundation,1,teamwork is the foundation,teamwork is the foundation of,teamwork is,teamwork is the,teamwork | is | the | foundation | of | any | winning | strategy
56,The stadium was packed with enthusiastic supporters. Really.,music,e-commerce,mixed,formal,60,8,8,6.38,1,TRUE,65.5569,the,1,with enthusiastic,1,the stadium was,1,stadium was packed with,packed with enthusiastic supporters really,the stadium,the stadium was,the | stadium | was | packed | with | enthusiastic | supporters | really
57,She dominated a tennis tournament from start to finish.,movies,healthcare,positive,informal,55,9,9,5.11,1,TRUE,255.365,she,1,tennis tournament,1,tournament from start,1,tournament from start to,she dominated a tennis tournament,she dominated,she dominated a,she | dominated | a | tennis | tournament | from | start | to | finish
58,Injuries are an unfortunate part of professional sports.,books,legal,negative,technical,56,8,8,6,1,TRUE,375.1884,injuries,1,unfortunate part,1,of professional sports,1,part of professional sports,an unfortunate part of professional,injuries are,injuries are an,injuries | are | an | unfortunate | part | of | professional | sports
59,The coach made a key substitution at halftime.,gaming,finance,neutral,colloquial,46,8,8,4.75,1,TRUE,120.9335,the,1,coach made,1,substitution at halftime,1,made a key substitution,coach made a key substitution,the coach,the coach made,the | coach | made | a | key | substitution | at | halftime
60,Sportsmanship is as important as winning the game.,fashion,entertainment,mixed,academic,50,8,7,5.25,0.875,TRUE,140.1473,sportsmanship,1,is as,1,winning the game,1,as important as winning,important as winning the game,sportsmanship is,sportsmanship is as,sportsmanship | is | as | important | as | winning | the | game
61,Reading regularly expands vocabulary and knowledge.,weather,customer_service,positive,formal,51,6,6,7.5,1,FALSE,47.8391,reading,1,reading regularly,1,reading regularly expands,1,regularly expands vocabulary and,reading regularly expands vocabulary and,reading regularly,reading regularly expands,reading | regularly | expands | vocabulary | and | knowledge
62,Online learning has made education more accessible.,food,social_media,negative,informal,51,7,7,6.29,1,FALSE,374.6386,online,1,learning has,1,education more accessible,1,has made education more,online learning has made education,online learning,online learning has,online | learning | has | made | education | more | accessible
63,Critical thinking skills are essential in modern careers.,travel,news,neutral,technical,57,8,8,6.12,1,TRUE,79.9438,critical,1,critical thinking,1,thinking skills are,1,skills are essential in,skills are essential in modern,critical thinking,critical thinking skills,critical | thinking | skills | are | essential | in | modern | careers
64,Students should practice active recall when studying.,technology,academic,mixed,colloquial,53,7,7,6.57,1,FALSE,330.4996,students,1,recall when,1,practice active recall,1,students should practice active,practice active recall when studying,students should,students should practice,students | should | practice | active | recall | when | studying
65,The teacher explained the concept with clear examples.,sports,casual_chat,positive,academic,54,8,7,5.75,0.875,TRUE,120.4971,the,2,explained the,1,with clear examples,1,the teacher explained the,teacher explained the concept with,the teacher,the teacher explained,the | teacher | explained | the | concept | with | clear | examples
66,Higher education opens many career opportunities.,health,e-commerce,negative,formal,49,6,6,7.17,1,FALSE,249.8353,higher,1,higher education,1,education opens many,1,education opens many career,education opens many career opportunities,higher education,higher education opens,higher | education | opens | many | career | opportunities
67,Lifelong learning keeps the mind sharp and active. Absolutely.,education,healthcare,neutral,informal,62,9,9,5.78,1,TRUE,212.0554,lifelong,1,the mind,1,sharp and active,1,sharp and active absolutely,keeps the mind sharp and,lifelong learning,lifelong learning keeps,lifelong | learning | keeps | the | mind | sharp | and | active | absolutely
68,Collaborative projects teach valuable teamwork skills.,business,legal,mixed,technical,54,6,6,8,1,FALSE,335.1523,collaborative,1,teach valuable,1,collaborative projects teach,1,collaborative projects teach valuable,projects teach valuable teamwork skills,collaborative projects,collaborative projects teach,collaborative | projects | teach | valuable | teamwork | skills
69,Feedback from peers can improve academic performance.,science,finance,positive,colloquial,53,7,7,6.57,1,FALSE,262.1031,feedback,1,feedback from,1,feedback from peers,1,peers can improve academic,feedback from peers can improve,feedback from,feedback from peers,feedback | from | peers | can | improve | academic | performance
70,Understanding the fundamentals helps with advanced topics.,politics,entertainment,negative,academic,58,7,7,7.29,1,TRUE,288.1536,understanding,1,fundamentals helps,1,the fundamentals helps,1,helps with advanced topics,fundamentals helps with advanced topics,understanding the,understanding the fundamentals,understanding | the | fundamentals | helps | with | advanced | topics
71,The company reported record profits this quarter.,music,customer_service,neutral,formal,49,7,7,6,1,TRUE,379.1194,the,1,profits this,1,the company reported,1,the company reported record,the company reported record profits,the company,the company reported,the | company | reported | record | profits | this | quarter
72,Customer satisfaction drives long-term business success.,movies,social_media,mixed,informal,56,7,7,7,1,FALSE,241.3536,customer,1,business success,1,satisfaction drives long,1,customer satisfaction drives long,satisfaction drives long term business,customer satisfaction,customer satisfaction drives,customer | satisfaction | drives | long | term | business | success
73,Startups often struggle with early-stage funding.,books,news,positive,technical,49,7,7,6,1,FALSE,137.1382,startups,1,often struggle,1,with early stage,1,often struggle with early,startups often struggle with early,startups often,startups often struggle,startups | often | struggle | with | early | stage | funding
74,Market analysis is critical before launching a product.,gaming,academic,negative,colloquial,55,8,8,5.88,1,TRUE,279.1853,market,1,a product,1,market analysis is,1,is critical before launching,analysis is critical before launching,market analysis,market analysis is,market | analysis | is | critical | before | launching | a | product
75,Effective leadership motivates teams to perform better.,fashion,casual_chat,neutral,academic,55,7,7,6.86,1,TRUE,355.9712,effective,1,perform better,1,effective leadership motivates,1,motivates teams to perform,motivates teams to perform better,effective leadership,effective leadership motivates,effective | leadership | motivates | teams | to | perform | better
76,Supply chain disruptions affected global markets.,weather,e-commerce,mixed,formal,49,6,6,7.17,1,FALSE,390.9583,supply,1,affected global,1,chain disruptions affected,1,supply chain disruptions affected,supply chain disruptions affected global,supply chain,supply chain disruptions,supply | chain | disruptions | affected | global | markets
77,The merger was approved by regulatory authorities.,food,healthcare,positive,informal,50,7,7,6.14,1,TRUE,299.8945,the,1,merger was,1,approved by regulatory,1,the merger was approved,the merger was approved by,the merger,the merger was,the | merger | was | approved | by | regulatory | authorities
78,Digital marketing has replaced traditional advertising. Absolutely.,travel,legal,negative,technical,67,7,7,8.43,1,FALSE,319.2023,digital,1,replaced traditional,1,marketing has replaced,1,has replaced traditional advertising,digital marketing has replaced traditional,digital marketing,digital marketing has,digital | marketing | has | replaced | traditional | advertising | absolutely
79,Employee retention reduces costly hiring cycles.,technology,finance,neutral,colloquial,48,6,6,7,1,FALSE,104.5248,employee,1,employee retention,1,costly hiring cycles,1,employee retention reduces costly,retention reduces costly hiring cycles,employee retention,employee retention reduces,employee | retention | reduces | costly | hiring | cycles
80,Investors are looking for sustainable business models.,sports,entertainment,mixed,academic,54,7,7,6.71,1,TRUE,104.7109,investors,1,for sustainable,1,looking for sustainable,1,looking for sustainable business,investors are looking for sustainable,investors are,investors are looking,investors | are | looking | for | sustainable | business | models
81,The experiment yielded surprising and significant results.,health,customer_service,positive,formal,58,7,7,7.29,1,TRUE,125.8692,the,1,significant results,1,experiment yielded surprising,1,surprising and significant results,experiment yielded surprising and significant,the experiment,the experiment yielded,the | experiment | yielded | surprising | and | significant | results
82,Peer review ensures the integrity of scientific research.,education,social_media,negative,informal,57,8,8,6.12,1,TRUE,278.2169,peer,1,peer review,1,ensures the integrity,1,ensures the integrity of,the integrity of scientific research,peer review,peer review ensures,peer | review | ensures | the | integrity | of | scientific | research
83,Climate change is supported by overwhelming evidence.,business,news,neutral,technical,53,7,7,6.57,1,TRUE,353.2746,climate,1,by overwhelming,1,is supported by,1,climate change is supported,climate change is supported by,climate change,climate change is,climate | change | is | supported | by | overwhelming | evidence
84,Quantum computing could solve complex problems faster.,science,academic,mixed,colloquial,54,7,7,6.71,1,FALSE,61.193,quantum,1,could solve,1,computing could solve,1,could solve complex problems,quantum computing could solve complex,quantum computing,quantum computing could,quantum | computing | could | solve | complex | problems | faster
85,Gene editing technologies raise important ethical questions.,politics,casual_chat,positive,academic,60,7,7,7.57,1,FALSE,250.3594,gene,1,raise important,1,technologies raise important,1,technologies raise important ethical,editing technologies raise important ethical,gene editing,gene editing technologies,gene | editing | technologies | raise | important | ethical | questions
86,Space exploration has accelerated in recent decades.,music,e-commerce,negative,formal,52,7,7,6.43,1,TRUE,92.2299,space,1,in recent,1,space exploration has,1,accelerated in recent decades,has accelerated in recent decades,space exploration,space exploration has,space | exploration | has | accelerated | in | recent | decades
87,The discovery of new species continues to surprise scientists.,movies,healthcare,neutral,informal,62,9,9,5.89,1,TRUE,217.5697,the,1,the discovery,1,continues to surprise,1,new species continues to,the discovery of new species,the discovery,the discovery of,the | discovery | of | new | species | continues | to | surprise | scientists
88,Chemistry plays a role in everything around us.,books,legal,mixed,technical,47,8,8,4.88,1,TRUE,183.893,chemistry,1,around us,1,in everything around,1,plays a role in,a role in everything around,chemistry plays,chemistry plays a,chemistry | plays | a | role | in | everything | around | us
89,Physics explains the fundamental forces of the universe. Absolutely.,gaming,finance,positive,colloquial,68,9,8,6.44,0.8889,TRUE,212.7066,physics,1,of the,1,of the universe,1,physics explains the fundamental,the fundamental forces of the,physics explains,physics explains the,physics | explains | the | fundamental | forces | of | the | universe | absolutely
90,Biodiversity is essential for ecosystem resilience.,fashion,entertainment,negative,academic,51,6,6,7.5,1,TRUE,230.6767,biodiversity,1,for ecosystem,1,essential for ecosystem,1,is essential for ecosystem,is essential for ecosystem resilience,biodiversity is,biodiversity is essential,biodiversity | is | essential | for | ecosystem | resilience
91,Please hold while I transfer your call to a specialist.,weather,customer_service,neutral,formal,55,10,10,4.5,1,TRUE,277.3808,please,1,i transfer,1,call to a,1,your call to a,i transfer your call to,please hold,please hold while,please | hold | while | i | transfer | your | call | to | a | specialist
92,Your order has been shipped and will arrive tomorrow.,food,social_media,mixed,informal,53,9,9,4.89,1,FALSE,174.3086,your,1,has been,1,shipped and will,1,shipped and will arrive,has been shipped and will,your order,your order has,your | order | has | been | shipped | and | will | arrive | tomorrow
93,I would like to return this product for a refund.,travel,news,positive,technical,49,10,10,3.9,1,TRUE,183.3575,i,1,i would,1,return this product,1,like to return this,would like to return this,i would,i would like,i | would | like | to | return | this | product | for | a | refund
94,The customer service was outstanding and very helpful.,technology,academic,negative,colloquial,54,8,8,5.75,1,TRUE,187.8787,the,1,outstanding and,1,outstanding and very,1,service was outstanding and,was outstanding and very helpful,the customer,the customer service,the | customer | service | was | outstanding | and | very | helpful
95,We apologize for the inconvenience caused.,sports,casual_chat,neutral,academic,42,6,6,6,1,TRUE,270.3633,we,1,apologize for,1,the inconvenience caused,1,for the inconvenience caused,we apologize for the inconvenience,we apologize,we apologize for,we | apologize | for | the | inconvenience | caused
96,Your feedback is very important to us.,health,e-commerce,mixed,formal,38,7,7,4.43,1,TRUE,331.0009,your,1,is very,1,important to us,1,is very important to,your feedback is very important,your feedback,your feedback is,your | feedback | is | very | important | to | us
97,The account balance is currently insufficient.,education,healthcare,positive,informal,46,6,6,6.67,1,TRUE,75.9945,the,1,account balance,1,balance is currently,1,the account balance is,the account balance is currently,the account,the account balance,the | account | balance | is | currently | insufficient
98,Please verify your identity before proceeding.,business,legal,negative,technical,46,6,6,6.67,1,FALSE,193.0581,please,1,please verify,1,verify your identity,1,verify your identity before,please verify your identity before,please verify,please verify your,please | verify | your | identity | before | proceeding
99,The transaction was completed successfully.,science,finance,neutral,colloquial,43,5,5,7.6,1,TRUE,171.8681,the,1,transaction was,1,was completed successfully,1,transaction was completed successfully,the transaction was completed successfully,the transaction,the transaction was,the | transaction | was | completed | successfully
100,Your subscription will renew next month. Indeed.,politics,entertainment,mixed,academic,48,7,7,5.71,1,FALSE,103.1596,your,1,month indeed,1,your subscription will,1,your subscription will renew,subscription will renew next month,your subscription,your subscription will,your | subscription | will | renew | next | month | indeed
101,I need help understanding my bill this month.,music,customer_service,positive,formal,45,8,8,4.62,1,TRUE,39.083,i,1,this month,1,bill this month,1,my bill this month,understanding my bill this month,i need,i need help,i | need | help | understanding | my | bill | this | month
102,The product arrived damaged and I need a replacement.,movies,social_media,negative,informal,53,9,9,4.89,1,TRUE,70.6689,the,1,damaged and,1,need a replacement,1,the product arrived damaged,damaged and i need a,the product,the product arrived,the | product | arrived | damaged | and | i | need | a | replacement
103,Can I change my delivery address before shipping?,books,news,neutral,technical,49,8,8,5.12,1,TRUE,381.0151,can,1,my delivery,1,address before shipping,1,delivery address before shipping,change my delivery address before,can i,can i change,can | i | change | my | delivery | address | before | shipping
104,The refund will be processed within five business days.,gaming,academic,mixed,colloquial,55,9,9,5.11,1,TRUE,182.1615,the,1,business days,1,processed within five,1,within five business days,processed within five business days,the refund,the refund will,the | refund | will | be | processed | within | five | business | days
105,Thank you for being a loyal customer for many years.,fashion,casual_chat,positive,academic,52,10,9,4.2,0.9,TRUE,347.3681,thank,1,many years,1,for many years,1,you for being a,loyal customer for many years,thank you,thank you for,thank | you | for | being | a | loyal | customer | for | many | years
106,I love how intuitive this application is to use.,weather,e-commerce,negative,formal,48,9,9,4.33,1,TRUE,311.0092,i,1,to use,1,how intuitive this,1,love how intuitive this,how intuitive this application is,i love,i love how,i | love | how | intuitive | this | application | is | to | use
107,The new features in the latest version are amazing.,food,healthcare,neutral,informal,51,9,8,4.67,0.8889,TRUE,187.1516,the,2,are amazing,1,latest version are,1,new features in the,features in the latest version,the new,the new features,the | new | features | in | the | latest | version | are | amazing
108,I cannot find the settings menu in this app.,travel,legal,mixed,technical,44,9,9,3.89,1,TRUE,141.4896,i,1,settings menu,1,cannot find the,1,find the settings menu,find the settings menu in,i cannot,i cannot find,i | cannot | find | the | settings | menu | in | this | app
109,This software crashes every time I open a file.,technology,finance,positive,colloquial,47,9,9,4.22,1,TRUE,165.5534,this,1,software crashes,1,software crashes every,1,software crashes every time,software crashes every time i,this software,this software crashes,this | software | crashes | every | time | i | open | a | file
