ID,Intent,User_Message,Bot_Response
428,feeling_happy,i got the job,That's wonderful news! Tell me more!
312,weather,hows the weather,I know right! The weather is crazy today!
444,movie_show,started a new series,Movie night sounds perfect! 🍿
313,weather,is it raining there,I love this weather tbh! 😍
571,health_fitness,feeling sick,Take care of yourself! Health comes first! 🏥
713,disagreement,i dont agree,"Fair enough, everyone has their opinion!"
163,sorry,so sorry,No worries at all!
596,health_fitness,feeling sick,Drink lots of water and rest!
1042,late_reply,phone was on silent,All good! Life happens!
834,photo_selfie,insta worthy,Post it! The world needs to see! 🔥
639,money,need money,Start saving now! Future you will thank you!
88,goodbye,bye,See ya! Stay safe!
843,sports,heartbreaking loss,Let's play! I'm ready! ⚽
678,agreement,absolutely,Exactly! That's what I was thinking!
451,movie_show,started a new series,"Ooh yes! I just watched something great, let me think..."
839,photo_selfie,took a great photo today,Love a good photo! Share it!
974,insult_tease,thats cringe,"Alright alright, I'll behave! 😇"
721,disagreement,cap,"Hmm okay, let's agree to disagree then! 😅"
851,sports,going to play,What a match that was! 🏏
671,agreement,yeah,Awesome! 👍
1041,late_reply,sorry for the late reply,Haha it's fine! We've all been there!
722,disagreement,thats cap,"Fair enough, everyone has their opinion!"
634,relationship,single now,I'm here for you no matter what. ❤️
457,movie_show,that movie was amazing,Netflix has some amazing new stuff! Let me send you some suggestions.
62,how_are_you,how u been,Pretty good! How about you?
335,compliment,you're beautiful,Thank you! You're not so bad yourself 😉
173,sorry,please forgive me,"It's okay, don't worry about it!"
1032,late_reply,was away from phone,It's all good! I understand!
174,sorry,i didnt mean to,"It's fine, really!"
598,health_fitness,started a diet,Hope you feel better soon! 🤗
533,work_study,so much work,"Take a break, you deserve it!"
668,money,budget tight,Money comes and goes. Don't stress too much!
699,agreement,sure,"Great, glad we're on the same page! 😊"
190,sorry,sorry,No worries at all!
966,insult_tease,youre annoying,I'll pretend I didn't see that 😂
142,thanks,thanks for the help,Don't mention it!
716,disagreement,not at all,"Alright, I respect your view!"
169,sorry,sorry for that,"All good, no need to apologize!"
152,thanks,many thanks,You're welcome! Let me know if you need anything else.
757,help_request,quick question,I'm all ears! What do you need help with?
512,work_study,overtime again,Hang in there! You've got this! 💪
640,money,salary when,Same here! Let's be broke together lol
979,sharing_news,guess what,You've got my full attention! Tell me!
531,work_study,have to study,That's amazing! Hard work pays off! 🎉
334,compliment,love your dp,Aww thank you so much! 😊
140,thanks,appreciate it,Glad I could help!
293,food,food cravings hitting hard,Let's go out to eat! I know a great place.
761,help_request,what do you think,Always! Tell me what's going on.
295,food,lets eat,I'm hungry too! Pizza? 🍕
784,gaming,lost the game,GG! Well played! 🏆
470,music,this song is fire,Music is life! 🎵 What are you in the mood for?
746,help_request,what should i do,Always! Tell me what's going on.
602,relationship,i miss you,Love you more! 😘
535,travel,lets go on a trip,That sounds amazing! Tell me more!
407,feeling_happy,yayyy,That's wonderful news! Tell me more!
116,goodbye,gotta run,Talk to you soon!
998,sharing_news,omg listen to this,I'm listening! Don't keep me waiting! 😱
588,health_fitness,started a diet,That's great! Keep it up! 💪
630,relationship,i miss you,That's so romantic!
555,travel,i need a vacation,That sounds amazing! Tell me more!
215,laugh,that killed me,Hahaha glad you liked it!
346,compliment,hottie,Aww thank you so much! 😊
36,greeting,yooo,Hey hey! How are things?
930,confusion,wdym,Okay so here's the thing...
808,photo_selfie,took a great photo today,Post it! The world needs to see! 🔥
85,how_are_you,how have you been,All good here! What's new with you?
695,agreement,same here,Exactly! That's what I was thinking!
453,movie_show,any movie recommendations,Have you tried watching that new show everyone's talking about?
46,greeting,hello dear,Hey! Long time no see!
584,health_fitness,trying to be healthier,Drink lots of water and rest!
546,travel,flight booked,Road trip! Let's do it! 🚗
243,ask_plans,r u free,"Not much, pretty free actually!"
534,travel,i want to travel,Where are you thinking of going? I'm in! 🌍
11,greeting,what's up,Hi! How have you been?
644,money,bills to pay,Time to start budgeting! 💰
732,disagreement,cap,Really? Why do you think so?
608,relationship,love u,You're so sweet! ❤️
988,sharing_news,major announcement,No way! What happened?!
951,insult_tease,i dont care,Ouch! That hurts! Just kidding 😂
322,weather,so hot today,Yeah it's insane! Stay hydrated! 💧
51,greeting,hi everyone,Hey hey! How are things?
706,disagreement,nope,Really? Why do you think so?
383,feeling_sad,im stressed out,Take a deep breath. I'm here if you need to vent.
898,birthday_celebration,we should party,Party time! Let's celebrate! 🥳
919,confusion,come again,Basically what I meant was...
617,relationship,single now,You're so sweet! ❤️
235,ask_plans,what are you up to,Just relaxing. What about you?
522,work_study,too many classes,"Don't stress too much, it'll work out!"
194,laugh,haha,Lol I know right!
796,gaming,esports,GG! Well played! 🏆
357,compliment,love your dp,That made my day! Thanks! 🥰
460,movie_show,what are you watching,Netflix has some amazing new stuff! Let me send you some suggestions.
360,compliment,you're handsome,You're too kind! ❤️
944,insult_tease,pagal,"You don't really mean that, do you? 😜"
171,sorry,sorry man,"It's okay, don't worry about it!"
847,sports,ipl,Sports are the best! Who are you supporting?
446,movie_show,any good shows on netflix,Movie night sounds perfect! 🍿
150,thanks,thanks for your time,No problem at all!
298,weather,the heat is killing me,The weather has been so unpredictable lately!
461,movie_show,i need something to watch,I've been binge watching too lol!
685,agreement,correct,"Great, glad we're on the same page! 😊"
91,goodbye,see ya,Good night! Sleep well! 😊
431,feeling_happy,i am so happy,Yay! You deserve all the happiness! ❤️
500,work_study,so much work,"Take a break, you deserve it!"
63,how_are_you,kaise ho,All good here! What's new with you?
7,greeting,heyyy,Hello! Nice to hear from you!
285,food,feeling like having coffee,I just ate but I could eat again lol
252,ask_plans,what are we doing today,Just binge watching Netflix lol. You?
776,gaming,free fire,GG! Well played! 🏆
948,insult_tease,leave me alone,Ouch! That hurts! Just kidding 😂
542,travel,road trip,Where are you thinking of going? I'm in! 🌍
324,weather,heavy rain,The weather has been so unpredictable lately!
666,money,stock market is crazy,Money comes and goes. Don't stress too much!
394,feeling_sad,feeling lonely,"That sounds really tough. Remember, this too shall pass."
299,weather,so hot today,Ugh tell me about it!
816,photo_selfie,say cheese,Send it! I'm curious!
707,disagreement,no way,"Alright, I respect your view!"
939,confusion,what do you mean,"Sorry, let me clarify!"
532,work_study,failed the test,I believe in you! You can do it!
980,sharing_news,big news,I'm listening! Don't keep me waiting! 😱
585,health_fitness,my back hurts,Hope you feel better soon! 🤗
366,feeling_sad,feeling low,"I'm sorry you're going through this. It will get better, I promise."
891,birthday_celebration,invited to a party,So exciting! Happy celebrations! 🥳
415,feeling_happy,living my best life,That's wonderful news! Tell me more!
108,goodbye,ok bye,Bye! Take care!
176,sorry,oops,No problem! It happens.
937,confusion,what,Basically what I meant was...
905,birthday_celebration,birthday party,Let's make it memorable! 🎈
656,money,bills to pay,Time to start budgeting! 💰
160,sorry,sorry,No worries at all!
652,money,why is everything so expensive,Start saving now! Future you will thank you!
769,help_request,suggest something,Of course! What do you need? 😊
983,sharing_news,plot twist,Spill the tea! I'm all ears! ☕
227,laugh,that killed me,Hahaha glad you liked it!
365,feeling_sad,i am sad,Sending you a big hug! 🤗 You're stronger than you think.
698,agreement,true that,Awesome! 👍
411,feeling_happy,good news,That's the spirit! Keep shining! ✨
560,travel,lets plan a weekend getaway,That sounds amazing! Tell me more!
401,feeling_happy,best day ever,You deserve it! Congratulations! 🥳
718,disagreement,thats not true,"Hmm okay, let's agree to disagree then! 😅"
590,health_fitness,gym motivation,Drink lots of water and rest!
720,disagreement,hard disagree,Let's talk about it more!
1021,late_reply,just saw this,All good! Life happens!
187,sorry,sorry about that,No stress! Everything's cool.
271,food,what should we eat,How about we order biryani? 😋
132,thanks,thanks a lot,No problem at all!
316,weather,perfect weather,The weather has been so unpredictable lately!
60,how_are_you,how's it going,Doing well! How's your day going?
412,feeling_happy,guess what happened,Yay! You deserve all the happiness! ❤️
32,greeting,hiiii,Hi there! What's up?
876,birthday_celebration,birthday party,Happy Birthday! 🎂🎉 Have an amazing day!
162,sorry,i am sorry,"It's fine, really!"
390,feeling_sad,feeling depressed,Take a deep breath. I'm here if you need to vent.
391,feeling_sad,having a bad day,I care about you. Let me know how I can help. ❤️
662,money,lend me some money,Same here! Let's be broke together lol
370,feeling_sad,worst day ever,"Hey, I'm here for you. Want to talk about it? ❤️"
266,food,i need food,Let's go out to eat! I know a great place.
168,sorry,sorry about that,No problem! It happens.
340,compliment,nice outfit,Aww you're so sweet! Thank you!
255,ask_plans,are you free,Working on some stuff. What's up?
829,photo_selfie,group photo,Send it! I'm curious!
686,agreement,TRUE,"Great, glad we're on the same page! 😊"
105,goodbye,take care,Bye bye! Take care of yourself!
462,movie_show,what should i watch,"Ooh yes! I just watched something great, let me think..."
792,gaming,pubg,Nice! What game?
305,weather,beautiful day,I know right! The weather is crazy today!
141,thanks,i appreciate it,You're welcome! Let me know if you need anything else.
400,feeling_happy,feeling great,You deserve it! Congratulations! 🥳
251,ask_plans,anything interesting going on,"Nothing much, just chilling at home. You?"
445,movie_show,which series are you watching,"Ooh yes! I just watched something great, let me think..."
61,how_are_you,how have you been,All good here! What's new with you?
117,goodbye,brb,Good night! Sleep well! 😊
624,relationship,love you,That's so romantic!
510,work_study,need a break from work,I believe in you! You can do it!
878,birthday_celebration,turning 25,Wishing you the best! 🎉❤️
795,gaming,just won a match,GG! Well played! 🏆
484,music,suggest a song,Music is life! 🎵 What are you in the mood for?
65,how_are_you,hows life,"I'm doing great, thanks for asking! What about you?"
421,feeling_happy,im so happy,That's amazing! So happy for you! 🎉
503,work_study,have to study,That's amazing! Hard work pays off! 🎉
742,help_request,can you do me a favor,I'm all ears! What do you need help with?
328,weather,its freezing outside,Perfect weather for staying in bed lol
901,birthday_celebration,turning 25,Let's make it memorable! 🎈
438,movie_show,netflix and chill,I've been binge watching too lol!
766,help_request,guide me,"Sure, I'm happy to help! What's up?"
372,feeling_sad,so stressed,"That sounds really tough. Remember, this too shall pass."
396,feeling_sad,feeling depressed,Sending you a big hug! 🤗 You're stronger than you think.
1010,late_reply,sorry for the late reply,No problem! You're here now!
688,agreement,i agree,Glad you think so too!
805,gaming,free fire,Let's gooo! I'm in! 🎮
64,how_are_you,how's life,Doing well! How's your day going?
303,weather,raining outside,I love this weather tbh! 😍
997,sharing_news,breaking news,I'm listening! Don't keep me waiting! 😱
1001,sharing_news,plot twist,I'm listening! Don't keep me waiting! 😱
34,greeting,hey hey,Yo! What's good?
104,goodbye,bye bye,See ya! Stay safe!
422,feeling_happy,guess what happened,I'm so glad to hear that! 😊
19,greeting,hello bro,Hi there! What's up?
92,goodbye,later,Good night! Sleep well! 😊
755,help_request,what do you think,Always! Tell me what's going on.
683,agreement,exactly,Perfect!
739,help_request,i need help,Of course! What do you need? 😊
654,money,stock market is crazy,I feel you! Money problems are the worst 😩
148,thanks,that means a lot,Anytime!
321,weather,raining outside,The weather has been so unpredictable lately!
906,birthday_celebration,turning 25,So exciting! Happy celebrations! 🥳
955,insult_tease,youre weird,Ouch! That hurts! Just kidding 😂
288,food,what did you have for lunch,I'm hungry too! Pizza? 🍕
575,health_fitness,need to eat healthy,Proud of you for staying healthy!
1005,sharing_news,big news,OMG what?! Tell me everything! 👀
927,confusion,im lost,Okay so here's the thing...
270,food,wanna eat,I just ate but I could eat again lol
264,food,so hungry,Coffee sounds perfect right now ☕
958,insult_tease,thats cringe,"Alright alright, I'll behave! 😇"
29,greeting,hi how are you,Hi! How have you been?
184,sorry,sorry i forgot,No stress! Everything's cool.
704,disagreement,no,Let's talk about it more!
660,money,expensive af,Money comes and goes. Don't stress too much!
741,help_request,help please,Ask away! I'll do my best to help.
1014,late_reply,phone was on silent,It's all good! I understand!
182,sorry,sorry for the delay,Don't worry about it 😊
777,gaming,pubg,GG! Well played! 🏆
327,weather,the heat is killing me,Perfect weather for staying in bed lol
799,gaming,gaming time,Gaming all night let's do it! 🎮🔥
424,feeling_happy,best day ever,You deserve it! Congratulations! 🥳
216,laugh,bruh 😂,😂😂 glad you found that funny!
922,confusion,what are you talking about,Basically what I meant was...
890,birthday_celebration,congrats,So exciting! Happy celebrations! 🥳
125,goodbye,bye for now,Bye! Take care!
130,thanks,ty,Anytime!
192,sorry,my bad,No stress! Everything's cool.
697,agreement,i think so too,Perfect!
245,ask_plans,plans for today,Just relaxing. What about you?
147,thanks,really appreciate it,You're welcome! Let me know if you need anything else.
669,money,i am broke,Money comes and goes. Don't stress too much!
540,travel,i need a vacation,Traveling is the best! Where to next?
244,ask_plans,got any plans,Working on some stuff. What's up?
945,insult_tease,shut up,I'll pretend I didn't see that 😂
10,greeting,wassup,Hey hey! How are things?
781,gaming,what games do you play,Let's gooo! I'm in! 🎮
210,laugh,stop it 😂,😂😂 glad you found that funny!
94,goodbye,talk to you later,Goodbye! Have a great day!
277,food,should we order in,How about we order biryani? 😋
41,greeting,hey friend,Hi! How have you been?
989,sharing_news,newsflash,This better be good! What's the news?
306,weather,lovely weather today,Perfect weather for staying in bed lol
254,ask_plans,what are you up to,Working on some stuff. What's up?
549,travel,wanderlust hitting hard,I need a vacation too! Let's plan something!
913,confusion,can you explain,Basically what I meant was...
895,birthday_celebration,we should party,Congratulations! You deserve to celebrate! 🎊
658,money,shopping spree,I feel you! Money problems are the worst 😩
320,weather,monsoon vibes,Perfect weather for staying in bed lol
291,food,food cravings hitting hard,How about we order biryani? 😋
33,greeting,hellooo,Hello! How's it going?
344,compliment,looking fabulous,Thank you! You're not so bad yourself 😉
849,sports,who do you support,So exciting! Tell me about it!
873,sports,scored a goal,Let's play! I'm ready! ⚽
646,money,investment tips,I feel you! Money problems are the worst 😩
618,relationship,got into a relationship,Relationships can be tough. Sending you love!
867,sports,marathon training,What a match that was! 🏏
45,greeting,hi dear,Hi! How have you been?
559,travel,road trip,Beach all the way! 🏖️
982,sharing_news,you know what happened,This better be good! What's the news?
544,travel,the trip was amazing,Where are you thinking of going? I'm in! 🌍
681,agreement,100 percent,"Great, glad we're on the same page! 😊"
208,laugh,bruh 😂,😂 it's too good!
78,how_are_you,all well,Can't complain! You?
631,relationship,single now,That's exciting! Tell me everything!
756,help_request,suggest something,I'm all ears! What do you need help with?
214,laugh,im cracking up,😂 it's too good!
231,ask_plans,wyd,I'm free! Want to hang out?
821,photo_selfie,camera roll is full,Show me! I want to see! 📸
218,laugh,lol,Hahaha glad you liked it!
481,music,this beat is sick,I've been listening to some great stuff lately! What genre do you like?
557,travel,packing my bags,Where are you thinking of going? I'm in! 🌍
946,insult_tease,youre annoying,Ouch! That hurts! Just kidding 😂
38,greeting,hiya,Hey! Long time no see!
77,how_are_you,everything alright,Can't complain! You?
1017,late_reply,sorry i missed this,It's all good! I understand!
120,goodbye,until next time,Goodbye! Have a great day!
616,relationship,broke up,Aww I miss you too! ❤️
343,compliment,you're on fire,Aww thank you so much! 😊
744,help_request,could you help,I'm all ears! What do you need help with?
902,birthday_celebration,what gift should i get,Party time! Let's celebrate! 🥳
775,gaming,online aa jao,Let's gooo! I'm in! 🎮
868,sports,football,Sports are the best! Who are you supporting?
925,confusion,that doesnt make sense,I'll break it down for you!
318,weather,monsoon vibes,Yeah it's insane! Stay hydrated! 💧
814,photo_selfie,this photo is amazing,You're so photogenic! 😍
538,travel,where should we go,Beach all the way! 🏖️
970,insult_tease,pagal,"Hey, that's not nice! 😅"
621,relationship,valentines day plans,Aww I miss you too! ❤️
724,disagreement,fake news,Interesting perspective! Tell me more.
738,help_request,can you help me,Sure thing! What's the question?
610,relationship,ilu,That's exciting! Tell me everything!
520,work_study,work from home,"Don't stress too much, it'll work out!"
587,health_fitness,took medicine,Drink lots of water and rest!
581,health_fitness,allergies acting up,Take care of yourself! Health comes first! 🏥
123,goodbye,alright goodnight,Talk to you soon!
83,how_are_you,how is it going,Doing well! How's your day going?
472,music,have you heard this song,That song is a banger! 🔥
417,feeling_happy,grateful,I'm so glad to hear that! 😊
869,sports,practice today,Let's play! I'm ready! ⚽
388,feeling_sad,im exhausted,"I'm sorry you're going through this. It will get better, I promise."
665,money,saving money,Payday can't come soon enough!
68,how_are_you,u good,All good here! What's new with you?
80,how_are_you,how is everything,Doing well! How's your day going?
286,food,chai time,How about we order biryani? 😋
84,how_are_you,what's happening with you,Pretty good! How about you?
326,weather,winter is coming,Ugh tell me about it!
367,feeling_sad,feeling down,"Hey, I'm here for you. Want to talk about it? ❤️"
752,help_request,i have a question,Of course! What do you need? 😊
167,sorry,i apologize,"All good, no need to apologize!"
279,food,lunch plans,I just ate but I could eat again lol
926,confusion,that doesnt make sense,Let me explain it better!
456,movie_show,just finished a series,Have you tried watching that new show everyone's talking about?
2,greeting,hi,Hello! How's it going?
180,sorry,excuse me,"It's okay, don't worry about it!"
677,agreement,definitely,Awesome! 👍
463,movie_show,what are you watching,"Ooh yes! I just watched something great, let me think..."
307,weather,its cold,I know right! The weather is crazy today!
864,sports,going to play,What a match that was! 🏏
471,music,love this song,Share the song! I want to hear it too!
909,confusion,huh,Basically what I meant was...
865,sports,lets play football,Let's play! I'm ready! ⚽
794,gaming,gaming time,Gaming time! What are we playing?
5,greeting,hiii,Hello! Nice to hear from you!
915,confusion,confused,Let me explain it better!
134,thanks,thank you so much,Anytime!
402,feeling_happy,life is good,You deserve it! Congratulations! 🥳
953,insult_tease,nobody cares,"Alright alright, I'll behave! 😇"
978,sharing_news,you wont believe this,OMG what?! Tell me everything! 👀
200,laugh,lolol,😂 it's too good!
675,agreement,sure,"Great, glad we're on the same page! 😊"
929,confusion,what do you mean,Let me explain it better!
403,feeling_happy,everything is perfect,That's wonderful news! Tell me more!
836,photo_selfie,send me a pic,You're so photogenic! 😍
586,health_fitness,feeling dizzy,Take care of yourself! Health comes first! 🏥
950,insult_tease,whatever,"You don't really mean that, do you? 😜"
884,birthday_celebration,congratulations,Happy Birthday! 🎂🎉 Have an amazing day!
311,weather,what's the weather like,Yeah it's insane! Stay hydrated! 💧
186,sorry,that was my fault,"All good, no need to apologize!"
837,photo_selfie,new profile pic,Send it! I'm curious!
13,greeting,hey there,Yo! What's good?
886,birthday_celebration,we should party,Party time! Let's celebrate! 🥳
759,help_request,what do you think,"Sure, I'm happy to help! What's up?"
447,movie_show,i need something to watch,Movie night sounds perfect! 🍿
351,compliment,you're amazing,Aww thank you so much! 😊
572,health_fitness,i have a headache,That's great! Keep it up! 💪
916,confusion,that doesnt make sense,I'll break it down for you!
232,ask_plans,what are your plans,I'm free! Want to hang out?
97,goodbye,i have to go,Talk to you soon!
900,birthday_celebration,what gift should i get,So exciting! Happy celebrations! 🥳
115,goodbye,leaving now,Bye! Take care!
175,sorry,i didn't mean that,Don't worry about it 😊
281,food,did you eat,I just ate but I could eat again lol
498,music,im in a music mood,Share the song! I want to hear it too!
410,feeling_happy,i passed,That's the spirit! Keep shining! ✨
339,compliment,love your style,Thank you! You're not so bad yourself 😉
758,help_request,could you help,Always! Tell me what's going on.
70,how_are_you,are you okay,Pretty good! How about you?
57,how_are_you,how you doing,Doing well! How's your day going?
278,food,want to go out for dinner,Coffee sounds perfect right now ☕
497,music,song recommendations,Let me send you my playlist! You'll love it.
257,ask_plans,any plans,Just binge watching Netflix lol. You?
924,confusion,elaborate please,"My bad, let me rephrase that!"
825,photo_selfie,editing photos,I bet it looks amazing!
508,work_study,boss is annoying,I believe in you! You can do it!
429,feeling_happy,feeling blessed,That's the spirit! Keep shining! ✨
166,sorry,apologies,"All good, no need to apologize!"
466,music,listening to any good music,I've been listening to some great stuff lately! What genre do you like?
673,agreement,yup,Perfect!
329,weather,i love this weather,I love this weather tbh! 😍
537,travel,planning a trip,Traveling is the best! Where to next?
887,birthday_celebration,throwing a party,Let's make it memorable! 🎈
536,travel,vacation mode,Road trip! Let's do it! 🚗
122,goodbye,ok goodnight,Bye! Take care!
459,movie_show,lets watch a movie,I've been binge watching too lol!
158,thanks,appreciate it,You're welcome! 😊
607,relationship,love you,You're so sweet! ❤️
855,sports,sports day,Sports are the best! Who are you supporting?
972,insult_tease,get lost,I'll pretend I didn't see that 😂
236,ask_plans,what u up to,"Nothing much, just chilling at home. You?"
641,money,payday is far,Start saving now! Future you will thank you!
563,travel,i want to travel,Traveling is the best! Where to next?
185,sorry,i feel bad,No problem! It happens.
680,agreement,for sure,Awesome! 👍
861,sports,what a game,Sports are the best! Who are you supporting?
952,insult_tease,who asked,Ouch! That hurts! Just kidding 😂
514,work_study,the presentation went well,I believe in you! You can do it!
127,thanks,thank you,No problem at all!
614,relationship,you're always on my mind,I'm here for you no matter what. ❤️
276,food,lets order food,Coffee sounds perfect right now ☕
272,food,any food recommendations,I'm hungry too! Pizza? 🍕
93,goodbye,catch you later,Bye bye! Take care of yourself!
569,health_fitness,need to lose weight,Take care of yourself! Health comes first! 🏥
31,greeting,hey whatsup,Hello! Nice to hear from you!
24,greeting,morning,Hey! How are you?
620,relationship,crush on someone,Love you more! 😘
361,compliment,you're awesome,"Stop it, you're making me blush!"
921,confusion,i didnt get it,I'll break it down for you!
800,gaming,free fire,Let's gooo! I'm in! 🎮
23,greeting,good morning,Hello! Nice to hear from you!
780,gaming,minecraft,Gaming time! What are we playing?
734,disagreement,fake news,"Alright, I respect your view!"
863,sports,going to play,Let's play! I'm ready! ⚽
562,travel,backpacking sounds fun,Beach all the way! 🏖️
764,help_request,i dont know what to do,"Sure, I'm happy to help! What's up?"
556,travel,where should we go,Traveling is the best! Where to next?
106,goodbye,see you later,Talk to you soon!
633,relationship,love u,I'm here for you no matter what. ❤️
240,ask_plans,you busy,I'm free! Want to hang out?
260,ask_plans,r u free,Just relaxing. What about you?
763,help_request,need your opinion,"Sure, I'm happy to help! What's up?"
151,thanks,thank you very much,You're welcome! 😊
439,movie_show,what are you watching,"Ooh yes! I just watched something great, let me think..."
871,sports,heartbreaking loss,Let's gooo! What a win! 🎉
405,feeling_happy,so excited,That's the spirit! Keep shining! ✨
578,health_fitness,gym motivation,Take care of yourself! Health comes first! 🏥
547,travel,hotel recommendations,Road trip! Let's do it! 🚗
715,disagreement,never,Let's talk about it more!
474,music,im in a music mood,Let me send you my playlist! You'll love it.
701,agreement,no cap,"Great, glad we're on the same page! 😊"
425,feeling_happy,yayyy,That's the spirit! Keep shining! ✨
526,work_study,looking for a new job,That's amazing! Hard work pays off! 🎉
494,music,share your playlist,Music is life! 🎵 What are you in the mood for?
220,laugh,lol,Hahaha glad you liked it!
961,insult_tease,who asked,Ouch! That hurts! Just kidding 😂
663,money,payday is far,Same here! Let's be broke together lol
947,insult_tease,go away,Wow rude! 😤 But okay lol
419,feeling_happy,such a good day,You deserve it! Congratulations! 🥳
283,food,lets cook something,Let's go out to eat! I know a great place.
1006,sharing_news,newsflash,Spill the tea! I'm all ears! ☕
993,sharing_news,breaking news,Spill the tea! I'm all ears! ☕
358,compliment,hottie,That made my day! Thanks! 🥰
